ticker,isin,wkn,name,trading_venue,broker_specific_id
AAPL,US0378331005,865985,Apple Inc.,XETRA,
MSFT,US5949181045,870747,Microsoft Corp.,XETRA,
GOOGL,US02079K3059,A14Y6F,Alphabet Inc. Class A,XETRA,
SPY,US78462F1030,A0YEDG,SPDR S&P 500 ETF,XETRA,
QQQ,US46090E1038,801498,Invesco QQQ Trust,XETRA,
QQQ3.L,IE00BLRPRL42,A3GL7E,WisdomTree NASDAQ 100 3x Daily Leveraged,LSE_GERMANY,
3LUS.L,IE00B7Y34M31,A1VBKR,WisdomTree S&P 500 3x Daily Leveraged,LSE_GERMANY,
VVSM.DE,IE00BMC38736,A2QC5J,VanEck Semiconductor UCITS ETF,XETRA,
SXR8.DE,IE00B5BMR087,A0YEDG,iShares Core S&P 500 UCITS ETF (Acc),XETRA,
